Customer Zipcode,Customer Segment,Customer Id,Customer Fname,Customer Lname
725,Home Office,10018,Gregory,Rodriguez
725,Home Office,4936,Kyle,Smith
725,Home Office,8707,Lisa,Smith
725,Home Office,1025,Megan,Todd
725,Home Office,8831,Mary,Smith
725,Home Office,10679,Mary,Smith
725,Home Office,5007,Mary,Smith
725,Home Office,9854,Mary,Smith
725,Home Office,376,Grace,Sanchez
725,Home Office,5417,Dennis,Meyer
725,Home Office,10759,Douglas,Smith
725,Home Office,8541,Mary,Smith
725,Home Office,3752,Mary,Vega
725,Home Office,4673,Wayne,Hodges
725,Home Office,5367,Mary,Mccormick
725,Home Office,10485,Mary,Smith
725,Home Office,9272,Ronald,Blackwell
725,Consumer,647,Mary,Rios
725,Consumer,6398,Tammy,Smith
725,Consumer,4209,Mary,Lara
725,Consumer,8917,Mary,Smith
725,Consumer,7784,Mary,Smith
725,Consumer,1425,Christina,Harvey
725,Consumer,2737,Mary,Smith
725,Consumer,6428,Mary,Smith
725,Consumer,6543,Alexander,Smith
784,Consumer,3990,Sandra,Smith
725,Consumer,8524,Ruth,Farrell
725,Consumer,9204,Mary,Harris
725,Consumer,11761,Lauren,Coleman
725,Consumer,9554,Mary,Hayes
725,Consumer,5118,Mary,Smith
725,Consumer,5506,Gregory,Smith
725,Consumer,1423,Mary,Day
725,Consumer,138,Mary,Dawson
725,Consumer,6360,Mary,Phillips
725,Consumer,2053,Ronald,Smith
795,Consumer,10344,Mary,Smith
725,Consumer,3375,Mary,Sanchez
725,Consumer,1339,Melissa,Mack
725,Consumer,7247,Mary,Smith
725,Consumer,1273,Maria,Evans
725,Consumer,6277,Eugene,Smith
725,Consumer,7701,James,Lawson
725,Consumer,4126,John,Stokes
725,Consumer,9528,Mary,Flores
725,Consumer,1853,Mary,Austin
725,Consumer,11149,Roy,Smith
725,Consumer,5828,Katherine,Oconnell
725,Consumer,6887,Mary,Smith
725,Consumer,4781,Janet,Smith
725,Consumer,10668,Mary,Smith
725,Consumer,5421,Mary,Carlson
725,Consumer,10200,Nicole,Smith
725,Consumer,11254,Sharon,Smith
725,Consumer,11106,Mary,Navarro
725,Consumer,8456,Mary,Smith
725,Consumer,6149,Matthew,Bush
725,Consumer,1473,Anthony,Young
725,Consumer,1840,Jerry,Smith
725,Consumer,6757,Mary,Freeman
725,Consumer,3972,Laura,Bennett
725,Consumer,9316,Megan,Sanders
725,Consumer,11213,Mary,Black
725,Consumer,3474,Jack,Hatfield
725,Consumer,14630,Kirestin,Barr
725,Consumer,13256,Nora,Downs
725,Consumer,14665,Jennifer,Stokes
725,Consumer,13363,Madonna,Ingram
725,Consumer,14645,Noelani,Hyde
725,Consumer,13163,Sydnee,Nolan
725,Consumer,14553,Willa,Potter
725,Consumer,14287,Alma,Delgado
725,Consumer,13179,Ila,Knight
725,Consumer,13035,Belle,Booker
725,Consumer,14322,Alyssa,Contreras
725,Consumer,13196,Lani,Nash
725,Consumer,14604,Demetria,Jarvis
725,Consumer,12961,Joan,Nixon
725,Consumer,14676,Gay,Harper
725,Consumer,14087,Audrey,Acosta
725,Consumer,13194,Riley,Jones
725,Consumer,14513,Imani,Kelly
725,Consumer,13461,Mechelle,Parker
725,Consumer,14510,Imani,Castaneda
725,Consumer,13190,Whitney,Henderson
725,Consumer,14508,Roanna,Martin
725,Consumer,14472,Vivian,Hays
725,Consumer,14562,Xantha,Brock
725,Consumer,13206,Zia,Davis
725,Consumer,13080,Mara,Duffy
725,Consumer,14633,Sloane,Long
725,Consumer,14097,Winifred,Alexander
725,Consumer,13024,Giselle,Farrell
725,Consumer,778,John,Buckley
725,Consumer,7146,Nancy,Curry
725,Consumer,6365,Mary,Smith
725,Consumer,8422,Wayne,Crawford
725,Consumer,3784,Mary,Sharp
725,Consumer,10519,Mary,Smith
725,Consumer,7132,David,Guerra
725,Consumer,3709,Mary,Padilla
11520,Consumer,1509,Patricia,Petersen
20744,Consumer,1636,Julie,Petersen
93304,Consumer,2784,Lisa,Smith
11368,Consumer,9174,Tyler,Smith
45238,Consumer,122,Karen,Smith
20874,Consumer,3800,Shawn,Smith
75006,Consumer,10029,Mary,Silva
77093,Consumer,2805,Willie,Smith
17013,Consumer,12253,Mary,Chan
90023,Consumer,3528,Nicole,Brooks
96706,Consumer,11018,Bruce,Smith
8701,Consumer,3222,Mary,Williams
13440,Consumer,6246,Melissa,Ramirez
92083,Consumer,8741,Gregory,Smith
76106,Consumer,8050,Elizabeth,Smith
54935,Consumer,5474,Mary,Sanchez
19139,Consumer,474,Mary,Patton
91764,Consumer,12255,Mary,Davis
32765,Consumer,10288,Mark,Smith
14221,Consumer,4717,Mary,Sanders
96822,Consumer,4799,Paul,Jensen
92056,Consumer,4533,Walter,Chavez
14120,Consumer,12383,Joyce,Phillips
93611,Consumer,3518,Daniel,Smith
11434,Consumer,4674,Mary,Lynn
62040,Consumer,8519,Pamela,Michael
2155,Consumer,5302,Betty,Smith
91766,Consumer,3594,Mary,Smith
85281,Consumer,9890,Christian,Luna
92703,Consumer,1410,Mary,Smith
17402,Consumer,7521,Mary,Ortega
80010,Consumer,2106,Mary,Grimes
93065,Consumer,8144,Mary,Summers
20904,Consumer,5643,Tiffany,Caldwell
55124,Consumer,2041,Paul,Garcia
78201,Consumer,7537,Stephen,Lee
19143,Consumer,3056,George,Middleton
19149,Consumer,7967,Samuel,Jones
10466,Consumer,1758,Larry,King
27858,Corporate,7884,Peter,Smith
7960,Corporate,289,Diana,Richards
92115,Corporate,10081,Mary,Castillo
93030,Corporate,1169,Mary,Smith
33147,Corporate,1182,Mary,Smith
87111,Corporate,717,Mary,Camacho
79109,Corporate,20423,Ainsley,Leach
33549,Corporate,5801,Theresa,Pearson
97701,Corporate,702,Cynthia,Smith
8816,Corporate,6951,Mary,Williams
29720,Corporate,6780,Sean,Chung
91762,Corporate,6422,Jonathan,Richmond
77015,Corporate,5384,Christopher,Smith
23666,Corporate,2985,Donald,Price
10016,Corporate,18349,Rana,Moreno
93257,Corporate,11286,Mary,Garcia
97223,Corporate,489,William,Smith
44136,Corporate,4510,Rachel,Cochran
79927,Corporate,9626,Dorothy,Frye
78840,Corporate,9494,Robert,Gilmore
14221,Corporate,1718,Mary,Smith
84010,Corporate,5295,Mary,Williams
98031,Corporate,3984,Brenda,Webster
60620,Corporate,5270,Andrea,Johnson
2360,Corporate,10966,Martha,Pierce
11691,Corporate,1868,Mary,Riddle
77088,Corporate,17446,Freya,Golden
19124,Corporate,10071,Mary,Lawrence
93065,Corporate,1271,Carolyn,Shea
48227,Corporate,11930,Mary,Gilbert
92840,Corporate,20529,Lynn,Sweeney
92105,Corporate,8358,Mary,Smith
60609,Corporate,7705,Julia,Robinson
92870,Corporate,17392,Patience,Ward
95148,Corporate,18276,Cheryl,Koch
96822,Corporate,7795,Sandra,Smith
44060,Corporate,20655,Whitney,Collins
95051,Corporate,2454,Kyle,Curtis
7083,Corporate,150,Mary,Smith
90805,Corporate,10671,Timothy,Moses
92683,Corporate,11924,Mary,Ramos
33068,Corporate,16086,Aimee,Terrell
91702,Consumer,4398,Mary,Yoder
33324,Consumer,5687,Mary,Chapman
78201,Consumer,8534,Mary,Rose
8540,Consumer,3372,Virginia,Smith
8861,Consumer,10927,Jessica,Lang
33162,Consumer,3597,Margaret,Smith
45140,Consumer,2052,Mary,Anthony
23455,Consumer,4399,Richard,Smith
40214,Consumer,185,Deborah,Smith
14094,Consumer,3441,Emma,Russell
60608,Consumer,11947,Mary,Smith
10314,Consumer,1555,Adam,Smith
85719,Consumer,9399,Mary,Bennett
2360,Consumer,2792,Roy,Carey
44120,Consumer,10118,Mary,Reynolds
10458,Consumer,8544,Sarah,Smith
14580,Consumer,4296,Edward,Sanchez
95207,Consumer,4391,Harry,Smith
79109,Consumer,2882,Mary,Decker
25401,Consumer,3283,Charles,Ramos
21502,Consumer,397,Mary,Delgado
61554,Consumer,4104,Debra,Butler
32308,Consumer,12214,Jennifer,Summers
32225,Consumer,10699,Mary,Lee
2895,Consumer,2091,Doris,Smith
95206,Consumer,10474,Benjamin,Case
30058,Consumer,7504,Stephanie,Smith
60453,Consumer,7518,Mary,Padilla
48213,Consumer,1738,Nicholas,Murray
91801,Consumer,1622,Mary,Smith
6511,Consumer,1325,Gregory,Nelson
14120,Consumer,5505,Joseph,Matthews
85029,Consumer,4210,Matthew,Roach
70065,Consumer,11229,Diane,Smith
15301,Consumer,9385,Andrew,Whitehead
49423,Consumer,900,George,Smith
19067,Consumer,6217,Roger,Black
38128,Consumer,9466,Mary,Smith
98023,Consumer,4596,Mary,Burns
92113,Consumer,5206,Mary,Palmer
60626,Consumer,2823,Danielle,Smith
90027,Consumer,10408,Sandra,Smith
10457,Consumer,11011,Mary,Mullins
90805,Consumer,40,Mary,Smith
60637,Consumer,11636,Patrick,Browning
91790,Corporate,7454,Andrew,Kim
93003,Corporate,5138,William,Rivera
20009,Corporate,8696,Mary,Pope
33594,Corporate,2329,Mary,Smith
96744,Corporate,12431,Mary,Rios
93003,Corporate,10860,Mary,Johnson
11218,Corporate,12094,Mary,Smith
92057,Corporate,5088,Mary,Smith
76116,Corporate,2200,Evelyn,Wilson
11218,Corporate,3997,Margaret,Walker
44120,Corporate,8746,Charles,Stout
19145,Corporate,3687,Mary,Morrow
95240,Corporate,9162,Christina,Carter
93308,Corporate,8993,Mary,Smith
19143,Corporate,5875,Mary,Rodgers
90813,Corporate,2502,Mary,Smith
95122,Corporate,9563,Pamela,Murphy
37130,Corporate,7259,Jerry,Ingram
92009,Corporate,3131,Mary,Brown
45011,Corporate,4140,Brandon,Smith
77083,Corporate,4539,Jacqueline,James
10031,Corporate,6071,Mary,Wu
94541,Corporate,8730,Mary,Smith
8302,Corporate,9634,Mary,Weaver
25401,Corporate,8010,Kathy,Smith
11706,Corporate,3484,Rebecca,Hunter
60067,Corporate,7307,Brandon,Foster
30080,Corporate,1975,Mary,Smith
91406,Corporate,629,Matthew,Huffman
33055,Corporate,11753,Richard,Reid
90046,Corporate,5375,Jeremy,Holmes
55106,Corporate,1695,Amanda,Marquez
8817,Corporate,9884,Maria,Dorsey
77520,Corporate,8498,Joseph,Pennington
91342,Corporate,7534,Mary,Smith
97701,Corporate,123,Mary,Mann
33055,Corporate,8925,Mary,Erickson
55337,Corporate,5981,Ronald,Williamson
11746,Corporate,7347,Carolyn,Gallegos
725,Corporate,19445,Felicia,Clark
94087,Corporate,19444,Wanda,Sanford
77478,Corporate,19443,Hayfa,Boyle
725,Corporate,19442,Lavinia,Houston
2135,Corporate,19441,Yetta,Robinson
725,Corporate,19440,Jennifer,Holmes
92840,Corporate,19439,Mara,Mcneil
725,Home Office,19438,Cleo,Woodward
58501,Corporate,19437,Cally,Dunn
725,Home Office,19436,Wynter,Gay
20878,Consumer,19435,Hyacinth,Nolan
725,Corporate,19434,Emma,Mayo
58501,Corporate,19433,Xerxes,Terrell
96817,Corporate,19432,Noel,Wheeler
30047,Corporate,19431,Maryam,Grant
725,Corporate,19430,Naida,Small
23455,Consumer,19429,Lana,Green
91702,Consumer,19428,Patience,Woodward
90813,Corporate,19427,Rylee,Garrett
10458,Consumer,19426,Dakota,Green
725,Consumer,19425,Fallon,Donovan
84604,Consumer,19424,Kylynn,Zimmerman
38401,Consumer,19423,Inez,Fleming
725,Consumer,19422,Carolyn,Davenport
95207,Consumer,19421,Miriam,Vega
30062,Home Office,19420,Danielle,Rush
725,Home Office,19419,Chloe,Pickett
49423,Consumer,19418,Beverly,Fisher
745,Home Office,19417,Gillian,Camacho
11212,Home Office,19416,Madeline,Wooten
725,Consumer,19415,Yoshi,Shelton
80219,Corporate,19414,Hadley,Russell
48180,Corporate,19413,Renee,Morales
725,Corporate,19412,Iola,King
60637,Corporate,19411,Tamekah,Blair
725,Corporate,19410,Cherokee,Huffman
48205,Corporate,19409,Odessa,Cherry
725,Consumer,19408,Rose,Mack
37130,Consumer,19407,Linda,Haley
725,Consumer,19406,May,Kennedy
44102,Corporate,19405,Lilah,Holmes
725,Consumer,19404,Tana,Franklin
14094,Corporate,19403,Emi,Mitchell
725,Corporate,19402,Cynthia,Albert
63301,Corporate,19401,Myra,Manning
90046,Corporate,19400,Medge,Mcfarland
95014,Home Office,19399,Chloe,Nichols
725,Home Office,19398,Beatrice,Holt
65807,Home Office,19397,Ria,Padilla
725,Home Office,19396,Charity,Sharpe
92692,Home Office,19395,Nell,Garrison
90042,Home Office,19394,Tamara,Larson
725,Home Office,19393,Phyllis,Higgins
30075,Home Office,19392,Nelle,Shaffer
725,Corporate,19391,Aimee,Daugherty
48197,Home Office,19390,Blossom,Middleton
11218,Corporate,19389,Breanna,Morrison
725,Corporate,19388,Katelyn,Key
85345,Corporate,19387,Karly,Porter
725,Corporate,19386,Olga,Stein
92843,Corporate,19385,Brenna,Wyatt
725,Home Office,19384,Tatyana,Tyson
8021,Corporate,19383,Ifeoma,Hendricks
38127,Corporate,19382,Kitra,Howard
37013,Consumer,19381,Summer,Hester
725,Consumer,19380,Sopoline,Hood
84118,Home Office,19379,Emma,Suarez
725,Consumer,19378,Eliana,Santos
93304,Consumer,19377,Denise,Young
725,Corporate,19376,Hermione,Rose
91344,Consumer,19375,Lara,Kim
725,Consumer,19374,Hedy,Dunn
32308,Home Office,19373,Violet,Melton
725,Home Office,19372,Taylor,Aguilar
11550,Home Office,19371,Clare,Jenkins
725,Corporate,19370,Xerxes,Marsh
11103,Corporate,19369,Rhonda,Bruce
95020,Consumer,19368,Morgan,Jimenez
725,Consumer,19367,Illiana,Mcpherson
91702,Consumer,19366,Joan,Hickman
725,Consumer,19365,Amity,Weber
28645,Consumer,19364,Jayme,Tyler
43228,Consumer,19363,Geraldine,Mcfadden
97321,Consumer,19362,Anika,Stokes
791,Consumer,19361,Dana,Hoffman
725,Corporate,19360,Blossom,Hill
11757,Corporate,19359,Sybil,Noel
44035,Corporate,19358,Genevieve,Joyce
725,Corporate,19357,Tara,Gordon
92504,Consumer,19356,Emma,Armstrong
725,Corporate,19355,Geraldine,Barlow
90745,Home Office,19354,Lilah,Huff
85204,Consumer,19353,Ella,Mcmahon
725,Home Office,19352,Lilah,Glass
96818,Home Office,19351,Alyssa,Fowler
725,Consumer,19350,Heather,Rocha
725,Home Office,12069,Brittany,Gardner
725,Home Office,9597,Lori,Perez
725,Home Office,9467,Billy,Butler
725,Home Office,2546,Mary,Smith
725,Home Office,2240,Edward,West
725,Home Office,11650,Mary,Smith
725,Home Office,10368,Matthew,Key
725,Home Office,6489,Maria,Macdonald
725,Home Office,10533,Michael,Smith
725,Home Office,11292,William,Saunders
725,Home Office,47,Lori,Fuller
725,Home Office,6405,Mary,Anderson
725,Home Office,2426,Mary,Phillips
725,Home Office,8133,Benjamin,Riddle
725,Home Office,1429,Pamela,Murphy
725,Home Office,9120,Terry,Trujillo
725,Home Office,12221,Betty,Sanchez
725,Home Office,9415,Mary,Joyce
725,Home Office,724,Lawrence,Mclaughlin
725,Home Office,8897,Stephen,Blackburn
725,Home Office,7112,Mark,Harris
725,Home Office,1086,Mary,Smith
725,Home Office,2916,Cynthia,Nelson
725,Home Office,11339,Mary,King
725,Home Office,10166,Aaron,Smith
725,Home Office,3091,Carolyn,Rodriguez
725,Home Office,1070,Shawn,Huffman
725,Home Office,6871,Gregory,Bowman
725,Home Office,2339,Mary,Smith
725,Home Office,4232,Mary,Garza
725,Home Office,8986,Mary,Smith
725,Home Office,6491,Bruce,Cruz
725,Home Office,5564,Mary,Smith
725,Home Office,7955,Mary,Rios
725,Home Office,5728,Sarah,Montoya
725,Home Office,9704,Mary,Mcneil
725,Home Office,8485,Mary,Simmons
725,Home Office,11216,Mary,Morgan
725,Home Office,12160,Martha,Richmond
725,Home Office,6352,Madison,Smith
725,Home Office,5870,John,Hughes
725,Home Office,11776,Mary,Smith
725,Home Office,7060,Virginia,Carroll
725,Home Office,3466,Evelyn,Smith
725,Home Office,1834,Jane,Nichols
725,Home Office,2439,Mary,Smith
725,Home Office,6416,Mary,Smith
725,Home Office,6310,Jerry,Deleon
725,Home Office,9029,Mary,Bryan
725,Home Office,295,Julie,Tanner
725,Home Office,9011,Mary,Smith
725,Home Office,1577,Mary,Smith
725,Home Office,1568,Mary,Larson
725,Home Office,9047,Jordan,Medina
725,Home Office,7603,Kevin,Smith
725,Home Office,6746,Anthony,Sanchez
725,Consumer,1566,Mary,Simon
725,Consumer,2918,Mary,Myers
725,Consumer,1491,Joyce,Smith
725,Consumer,14915,Octavia,French
725,Consumer,9619,Mary,Smith
725,Consumer,2363,Mary,Frazier
725,Consumer,5898,Emily,Jacobs
725,Consumer,1948,Peter,Smith
725,Consumer,1820,Mary,Hill
725,Consumer,14770,Kelsie,Tate
725,Consumer,1962,Marie,Smith
725,Consumer,7175,Judy,Webb
725,Consumer,1222,Michael,Garcia
725,Consumer,487,Kenneth,Brown
725,Consumer,2217,Mary,Martinez
725,Consumer,14824,Jaime,Todd
921,Consumer,2078,Roger,Morales
725,Consumer,10497,Justin,Pena
725,Consumer,4695,Hannah,Guerra
725,Consumer,9857,Lawrence,Deleon
725,Consumer,2168,Mary,Reynolds
725,Consumer,4078,Mary,Gallegos
725,Consumer,11887,Christopher,Smith
725,Consumer,6588,Mary,Smith
725,Consumer,7167,Harold,Medina
725,Consumer,1459,Mary,Smith
725,Consumer,548,Ryan,Horton
725,Consumer,5224,Jane,Green
725,Consumer,2686,Mary,Coffey
725,Consumer,468,Mary,Stone
725,Consumer,1260,Kelly,Calderon
725,Consumer,3050,Mary,Smith
725,Consumer,10308,Mary,Smith
725,Consumer,387,Mary,Levy
725,Consumer,2270,Mary,Smith
725,Consumer,482,Megan,Moreno
725,Consumer,1956,Mary,Clay
725,Consumer,7466,Mary,Warren
725,Consumer,8224,Edward,Chang
725,Consumer,3490,Mary,Smith
725,Consumer,1596,John,Hammond
693,Consumer,3969,Carl,Smith
725,Consumer,9342,Teresa,Grant
725,Consumer,2028,Cynthia,Smith
725,Consumer,3940,Mary,Smith
725,Consumer,8293,Nathan,Mahoney
725,Consumer,9962,Diana,Smith
725,Consumer,8098,Mary,Smith
725,Consumer,8348,Mary,Maddox
725,Consumer,653,Jason,Haas
725,Consumer,8645,Andrew,Johnston
725,Consumer,1275,Amanda,Smith
725,Consumer,11189,Mary,Hammond
725,Consumer,5988,Melissa,Miller
725,Consumer,9726,Steven,Smith
725,Consumer,5113,Judith,Osborne
725,Consumer,7202,Beverly,Smith
725,Consumer,1173,Mary,Silva
725,Consumer,13597,Sara,Mejia
725,Consumer,4047,Marilyn,Potter
725,Consumer,6594,Rebecca,Austin
725,Consumer,1186,Mary,Soto
725,Consumer,4279,Jack,Meyer
725,Consumer,4151,Mary,Smith
725,Consumer,14848,Karina,Harper
725,Consumer,4697,Kathryn,Singh
725,Consumer,5887,Mary,Peters
725,Consumer,3207,Stephen,Smith
725,Consumer,12310,Ralph,Nielsen
725,Consumer,8397,Amber,Smith
725,Consumer,6306,Donna,Browning
725,Consumer,8002,Margaret,Martinez
725,Consumer,12382,Jennifer,Smith
680,Consumer,7844,Scott,Smith
725,Consumer,12291,Jennifer,Sims
725,Consumer,6523,Mary,Smith
725,Consumer,4867,Mary,Smith
725,Consumer,5301,Mary,Ward
725,Consumer,4784,Mary,Williams
725,Consumer,7446,Lisa,Williams
725,Consumer,11455,Mary,Weaver
725,Consumer,5364,Thomas,Colon
725,Consumer,259,Mary,Bates
725,Consumer,11290,Catherine,Smith
791,Consumer,8517,Debra,Smith
725,Consumer,7407,Diane,Kim
725,Consumer,5965,Richard,Parker
725,Consumer,8677,Cynthia,Mccoy
725,Consumer,10093,Michael,Lopez
725,Consumer,12119,Barbara,Pham
725,Consumer,8274,Mary,Mcgrath
725,Consumer,2291,Mary,Mcdonald
725,Consumer,11310,Kenneth,Williams
725,Consumer,155,Brittany,Juarez
725,Consumer,4998,Mary,Smith
725,Consumer,7720,Lisa,Ramirez
725,Consumer,3099,Brittany,Copeland
725,Consumer,5011,William,Berg
725,Consumer,2643,David,Smith
725,Consumer,9501,Patricia,Smith
725,Consumer,9760,Mary,Wolf
725,Consumer,11793,Thomas,Riley
957,Consumer,7273,Mary,Smith
725,Consumer,3329,Joshua,Smith
725,Consumer,9429,George,Terrell
725,Consumer,437,Cynthia,Benjamin
725,Consumer,2538,Kelly,Williams
612,Consumer,4280,Mary,Mccoy
725,Consumer,2813,Mary,Smith
725,Consumer,4249,Mary,Butler
693,Consumer,9697,Stephen,Williams
725,Consumer,27,Mary,Vincent
725,Consumer,5274,Michael,Beard
725,Consumer,11273,Mary,Ward
725,Consumer,9495,Nicholas,Smith
725,Consumer,4841,John,Warner
725,Consumer,9803,Mary,Brady
725,Consumer,7391,Mary,Garrett
725,Consumer,11426,Mary,Smith
725,Consumer,11664,Mary,Smith
725,Consumer,5339,Mary,Moore
725,Consumer,3204,Edward,Smith
725,Consumer,4438,Frank,Jennings
725,Consumer,5243,Mary,Smith
725,Consumer,5089,James,Holloway
725,Consumer,6073,Mary,Campos
725,Consumer,8992,Maria,Summers
725,Consumer,6466,Susan,Meyer
725,Consumer,11438,Mary,Pugh
725,Consumer,9524,Mary,Nelson
725,Consumer,2464,Teresa,Warner
685,Consumer,3770,Mary,Johnson
725,Consumer,1306,Zachary,Taylor
725,Consumer,10811,Joshua,Carter
725,Consumer,12033,Aaron,Villa
725,Consumer,9248,Mary,Luna
725,Consumer,2214,Mary,Smith
725,Consumer,6738,Mary,Taylor
725,Consumer,5074,Karen,Smith
725,Consumer,9148,Robert,Gallagher
10016,Consumer,3497,Mary,Smith
85033,Consumer,10066,Janice,Smith
97402,Consumer,4248,Jonathan,Smith
90806,Consumer,6473,Mary,Castillo
60102,Consumer,12288,Karen,Smith
46227,Consumer,7764,Mary,Wilson
90003,Consumer,11720,Mary,Smith
90620,Consumer,3935,Harold,Hayes
94541,Consumer,8792,Mary,Smith
21228,Consumer,10416,Mary,Goodwin
17013,Consumer,424,Stephen,Douglas
10306,Consumer,10031,Crystal,Blake
90806,Consumer,10819,Michelle,Koch
30066,Consumer,5418,Mary,Roy
7305,Consumer,7272,Benjamin,Hurst
90805,Consumer,5329,Jack,Townsend
38109,Consumer,7810,Henry,Smith
33549,Consumer,3624,Grace,Shah
60148,Consumer,7331,Pamela,Strong
93030,Consumer,125,Mary,Gallagher
11207,Consumer,9419,Mary,Smith
2740,Consumer,1250,Teresa,Smith
12550,Consumer,7683,Cynthia,Wallace
33175,Consumer,2728,Mary,Adams
19446,Consumer,4612,Mary,Wilson
90037,Consumer,12019,Mary,Walters
21206,Consumer,10549,Mary,Atkinson
85035,Consumer,4909,Mary,Smith
92833,Consumer,5854,Mary,Smith
21218,Consumer,3066,Mary,Smith
95823,Consumer,11431,Willie,Sanders
60614,Consumer,9906,Richard,Smith
27410,Consumer,2048,Mary,Wolf
95127,Consumer,3071,Mary,Meadows
10031,Consumer,11065,Aaron,Smith
44107,Consumer,394,David,Smith
45011,Consumer,5707,Kathy,Sampson
97470,Consumer,2682,Cynthia,Miller
95350,Consumer,467,James,Smith
10003,Consumer,10577,Jennifer,Fuentes
2740,Consumer,3471,Mary,Franco
92024,Consumer,3535,Betty,Rodgers
95116,Consumer,11715,Mary,Smith
13440,Consumer,9814,Daniel,Smith
95076,Consumer,4848,Jennifer,Morgan
83642,Consumer,569,Mary,Frye
77084,Consumer,5749,Mary,Smith
90027,Consumer,4460,Mary,Smith
11229,Consumer,6506,Anna,Bailey
13760,Consumer,6050,Rebecca,Arnold
95148,Consumer,3246,Lori,Burns
77450,Consumer,2364,Thomas,Whitney
93277,Consumer,12216,Ann,Deleon
93535,Consumer,11388,Mary,Rangel
85022,Consumer,1628,Benjamin,Smith
93436,Consumer,7222,Jesse,Stein
33186,Consumer,5929,Mary,Shepherd
17404,Consumer,6123,Mary,Anderson
84404,Consumer,587,Patrick,Smith
27610,Consumer,1240,Mary,Warner
23455,Consumer,8806,Amber,Diaz
92009,Consumer,341,Mary,Smith
91745,Consumer,3064,Sandra,Smith
7087,Consumer,10614,James,Smith
33023,Consumer,10563,Mary,Smith
60440,Consumer,11002,Alexander,Smith
47906,Consumer,11486,Mary,Smith
11103,Consumer,1759,Mary,Barnett
7105,Consumer,10659,Barbara,Beck
95127,Consumer,8899,Cynthia,Brown
22192,Consumer,3315,Andrew,Butler
78596,Consumer,10051,Kathryn,Smith
11432,Consumer,6402,Mary,Frazier
44107,Consumer,4021,Catherine,Shelton
75243,Consumer,4195,Katherine,Lawrence
90201,Consumer,7464,Mary,Ramirez
97223,Consumer,11592,Mary,Smith
92109,Consumer,10831,Larry,Smith
90638,Consumer,7586,Christina,Sanchez
90065,Corporate,8551,Harold,Dalton
48205,Corporate,7163,Mary,Jones
59102,Corporate,9163,Mary,Russell
7047,Corporate,20402,Cleo,Buchanan
92691,Corporate,4807,Raymond,Rodgers
30318,Corporate,88,Mary,Henry
10002,Corporate,7697,Hannah,Wilkins
21218,Corporate,18007,Audra,Weber
44136,Corporate,8720,Mary,Alvarado
